


Ref.Num  | Year |  Variable Description                                              |        Question Name              
T75469.00 | 2011 | SPOUSES TOTAL INCOME FROM WAGES AND SALARY PAST YEAR                      | YINC-2600                  
T75470.00 | 2011 | ESTIMATED SPOUSES TOTAL INCOME FROM WAGES AND SALARY PAST YEAR            | YINC-2700                  
T76356.00 | 2011 | R'S HEIGHT - FEET                                                         | YSAQ-000A000001            
T76357.00 | 2011 | R'S HEIGHT - INCHES                                                       | YSAQ-000A000002            
T76358.00 | 2011 | R'S WEIGHT - POUNDS                                                       | YSAQ-000B                  
T76388.00 | 2011 | HAS R SMOKED SINCE DLI?                                                   | YSAQ-360C                  
T76392.00 | 2011 | HAS R DRANK SINCE DLI?                                                    | YSAQ-364D                  
T76398.00 | 2011 | # DAYS USE MARIJUANA IN LAST 30 DAYS?                                     | YSAQ-371                   
T76400.00 | 2011 | HAS R USED COCAINE/HARD DRUGS SINCE DLI?                                  | YSAQ-372CC                 
T76403.00 | 2011 | R DESCRIBE WEIGHT                                                         | YSAQ-373                   
T76404.00 | 2011 | WHAT R DO ABOUT WEIGHT                                                    | YSAQ-374                   
T77116.00 | 2011 | HEALTH AGE 29: RS ENERGY LEVEL DURING PAST FOUR WEEKS                     | YHEA29-285                 
T77311.00 | 2011 | YEMP, TYPE OF BUS OR INDUSTRY CODE (2002 CENSUS 4-DIGIT) 01 (ROS ITEM)    | YEMP_INDCODE-2002.01       
Z90337.00 | XRND | HIGHEST SAT MATH SCORE 2007                                               | CVC_SAT_MATH_SCORE_2007    
Z90339.00 | XRND | HIGHEST SAT VERBAL SCORE 2007                                             | CVC_SAT_VERBAL_SCORE_2007  
Z90341.00 | XRND | HIGHEST ACT SCORE 2007                                                    | CVC_ACT_SCORE_2007         
Z90501.00 | XRND | DEBT AT AGE 20                                                            | CVC_ASSETS_DEBTS_20        
Z90505.00 | XRND | # EMPLOYEE-TYPE JOBS FROM AGE 14 THROUGH AGE 19                           | CVC_TTL_JOB_TEEN           
Z90506.00 | XRND | # EMPLOYEE-TYPE JOBS R HAS HELD FROM AGE 20                               | CVC_TTL_JOB_ADULT_ET       
Z90507.00 | XRND | # JOBS R HAS HELD FROM AGE 20                                             | CVC_TTL_JOB_ADULT_ALL      
Z91225.00 | XRND | DEBT AT AGE 30                                                            | CVC_ASSETS_DEBTS_30        
